Team,Player,Position,Age,Experience,College,Games_Played,Sk_total,Sk_avg,Sk_max,Solo_total,Solo_avg,Solo_max,Ast_total,Ast_avg,Ast_max,Comb_total,Comb_avg,Comb_max,TFL_total,TFL_avg,TFL_max,QBHits_total,QBHits_avg,QBHits_max,FF_total,FF_avg,FF_max,FR_total,FR_avg,FR_max
Lions,Josh Paschal,DL,25.0,2,Kentucky,31,5.0,0.1111111111111111,2.0,40.0,0.8888888888888888,4.0,19.0,0.4222222222222222,3.0,59.0,1.3111111111111111,5.0,11.0,0.24444444444444444,2.0,10.0,0.2222222222222222,2.0,0.0,0.0,0.0,1.0,0.022222222222222223,1.0
Lions,Levi Onwuzurike,DL,26.0,3,Washington,37,3.5,0.056451612903225805,1.0,28.0,0.45161290322580644,3.0,31.0,0.5,4.0,59.0,0.9516129032258065,4.0,3.0,0.04838709677419355,1.0,13.0,0.20967741935483872,2.0,1.0,0.016129032258064516,1.0,0.0,0.0,0.0
49ers,Sam Okuayinonu,DL,26.0,2,Maryland,16,3.5,0.125,1.0,17.0,0.6071428571428571,2.0,14.0,0.5,3.0,31.0,1.1071428571428572,3.0,5.0,0.17857142857142858,1.0,8.0,0.2857142857142857,3.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0
Falcons,Zach Harrison,DL,23.0,1,Ohio St.,27,3.0,0.10714285714285714,2.0,21.0,0.75,4.0,25.0,0.8928571428571429,4.0,46.0,1.6428571428571428,5.0,5.0,0.17857142857142858,2.0,5.0,0.17857142857142858,2.0,,,,,,
Cardinals,Roy Lopez,DL,27.0,3,New Mexico St.Arizona,57,3.0,0.05,1.0,70.0,1.1666666666666667,5.0,58.0,0.9666666666666667,4.0,128.0,2.1333333333333333,5.0,16.0,0.26666666666666666,1.0,9.0,0.15,2.0,1.0,0.016666666666666666,1.0,1.0,0.016666666666666666,1.0
Packers,Tedarrell Slaton,DL,27.0,3,Florida,62,2.0,0.03225806451612903,1.0,60.0,0.967741935483871,4.0,64.0,1.032258064516129,5.0,124.0,2.0,9.0,5.0,0.08064516129032258,2.0,7.0,0.11290322580645161,1.0,,,,,,
Bears,Dominique Robinson,DL,26.0,2,Miami (OH),30,2.0,0.046511627906976744,1.5,25.0,0.5813953488372093,5.0,21.0,0.4883720930232558,2.0,46.0,1.069767441860465,7.0,3.0,0.06976744186046512,1.0,4.0,0.09302325581395349,2.0,,,,,,
Vikings,Jalen Redmond,DL,25.0,1,Oklahoma,8,1.0,0.09090909090909091,1.0,3.0,0.2727272727272727,1.0,2.0,0.18181818181818182,1.0,5.0,0.45454545454545453,1.0,2.0,0.18181818181818182,1.0,1.0,0.09090909090909091,1.0,,,,,,
49ers,Kalia Davis,DL,26.0,1,Central Florida,10,1.0,0.022222222222222223,1.0,4.0,0.08888888888888889,1.0,1.0,0.022222222222222223,1.0,5.0,0.1111111111111111,1.0,1.0,0.022222222222222223,1.0,1.0,0.022222222222222223,1.0,,,,,,
Bears,Austin Booker,DL,22.0,Rook,MinnesotaKansas,9,1.0,0.1111111111111111,1.0,12.0,1.3333333333333333,2.0,5.0,0.5555555555555556,2.0,17.0,1.8888888888888888,3.0,3.0,0.3333333333333333,1.0,3.0,0.3333333333333333,1.0,,,,,,
49ers,Evan Anderson,DL,22.0,Rook,Florida Atlantic,6,1.0,0.09090909090909091,1.0,5.0,0.45454545454545453,3.0,6.0,0.5454545454545454,2.0,11.0,1.0,4.0,2.0,0.18181818181818182,1.0,0.0,0.0,0.0,1.0,0.09090909090909091,1.0,0.0,0.0,0.0
Packers,Brenton Cox,DL,24.0,1,GeorgiaFlorida,6,1.0,0.03571428571428571,1.0,2.0,0.07142857142857142,2.0,2.0,0.07142857142857142,1.0,4.0,0.14285714285714285,3.0,2.0,0.07142857142857142,2.0,2.0,0.07142857142857142,2.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0
49ers,Robert Beal,DL,25.0,1,Georgia,15,1.0,0.03571428571428571,1.0,11.0,0.39285714285714285,2.0,6.0,0.21428571428571427,2.0,17.0,0.6071428571428571,4.0,1.0,0.03571428571428571,1.0,1.0,0.03571428571428571,1.0,,,,,,
Packers,Arron Mosby,DL,25.0,2,Fresno St.,13,0.5,0.011111111111111112,0.5,3.0,0.06666666666666667,1.0,2.0,0.044444444444444446,1.0,5.0,0.1111111111111111,1.0,0.0,0.0,0.0,1.0,0.022222222222222223,1.0,,,,,,
Bears,Zacch Pickens,DL,24.0,1,South Carolina,20,0.5,0.019230769230769232,0.5,10.0,0.38461538461538464,2.0,13.0,0.5,2.0,23.0,0.8846153846153846,2.0,1.0,0.038461538461538464,1.0,2.0,0.07692307692307693,1.0,1.0,0.038461538461538464,1.0,0.0,0.0,0.0
Packers,Colby Wooden,DL,24.0,1,Auburn,24,0.5,0.017857142857142856,0.5,14.0,0.5,2.0,13.0,0.4642857142857143,3.0,27.0,0.9642857142857143,4.0,2.0,0.07142857142857142,1.0,4.0,0.14285714285714285,1.0,,,,,,
Rams,Tyler Davis,DL,24.0,Rook,Clemson,10,0.5,0.045454545454545456,0.5,10.0,0.9090909090909091,2.0,11.0,1.0,4.0,21.0,1.9090909090909092,5.0,2.0,0.18181818181818182,1.0,1.0,0.09090909090909091,1.0,,,,,,
Cardinals,Khyiris Tonga,DL,28.0,3,BYU,50,0.5,0.008064516129032258,0.5,36.0,0.5806451612903226,3.0,47.0,0.7580645161290323,4.0,83.0,1.3387096774193548,6.0,3.0,0.04838709677419355,1.0,4.0,0.06451612903225806,1.0,0.0,0.0,0.0,1.0,0.016129032258064516,1.0
Lions,Mekhi Wingo,DL,21.0,Rook,MissouriLSU,10,0.0,0.0,0.0,1.0,0.09090909090909091,1.0,6.0,0.5454545454545454,2.0,7.0,0.6363636363636364,3.0,0.0,0.0,0.0,1.0,0.09090909090909091,1.0,,,,,,
Bears,Daniel Hardy,DL,26.0,2,Montana St.,15,0.0,0.0,0.0,5.0,0.11627906976744186,2.0,5.0,0.11627906976744186,2.0,10.0,0.23255813953488372,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023255813953488372,1.0,0.0,0.0,0.0
Giants,Jordon Riley,DL,26.0,1,North CarolinaGarden City (KS)NebraskaOregon,15,0.0,0.0,0.0,7.0,0.25,1.0,5.0,0.17857142857142858,3.0,12.0,0.42857142857142855,3.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0,,,,,,
Cardinals,Darius Robinson,DL,23.0,Rook,Missouri,0,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,Levi Drake Rodriguez,DL,24.0,Rook,Southwestern Assemblies of GodTexas A&M-Commerce,1,,,,,,,,,,,,,,,,,,,,,,,,
